"id","sessionId","role","content","contentType","timestamp"
"372cb833-db6e-4ff3-aee1-0efe06adfbb8","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,用普通话同粤语呢个50 50,TEXT,2026-07-14 09:30:20.357 +0800
"8c710346-ddfc-49f2-84d9-d3ff354a3d59","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,具体什么场景用粤语多？,TEXT,2026-07-14 09:30:20.457 +0800
b6850e45-26b8-4cfb-992f-904b84e6594c,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,唔系分场景嘅系，面对人嘅，人哋讲乜嘢我就讲乜嘢咯,TEXT,2026-07-14 09:30:20.557 +0800
"799e9f63-c1a4-443b-8f43-f0ed32682089","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,那继续：工作中遇到过什么突发事件？,TEXT,2026-07-14 09:30:52.941 +0800
"1d76148f-9ec8-4ebf-a605-1b6b6c1cf983","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,电动车着火,TEXT,2026-07-14 09:30:53.041 +0800
"53eddd55-8b2b-4e55-b8c6-adb10a61ae61","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,具体是怎么发生的？,TEXT,2026-07-14 09:30:53.141 +0800
"83602be8-be04-48a9-85d8-d2204b8d7ac7","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,电动车，还太阳底下自然着火,TEXT,2026-07-14 09:30:53.241 +0800
a8386bec-fb29-484c-83cd-9110d7f055f3,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,我们继续：为什么想来香港做保安？,TEXT,2026-07-14 09:31:25.344 +0800
b7e850e7-8b31-4bbd-b16f-6ef8dd9f14e7,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,因为工资高，没其他原因了,TEXT,2026-07-14 09:31:25.444 +0800
"08fd8c52-410a-4880-b556-32a30d7e936a","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,除了工资高，还有别的原因吗？,TEXT,2026-07-14 09:31:25.544 +0800
"4ed04f99-3f88-43a4-b59f-aba3c8a276cf","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,我都话没别的原因了，下一个问题,TEXT,2026-07-14 09:31:25.644 +0800
"603bdd32-7cbf-49c3-a2f1-308c8842dd03","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,继续：除了工资，还有什么吸引你来香港？,TEXT,2026-07-14 09:31:44.424 +0800
fbb1a416-f29f-4dec-8fb2-920186e99ff6,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,都话除咗、工资、冇其他吸引咯。下一个问题,TEXT,2026-07-14 09:31:44.524 +0800
e71ba8ae-16b9-4744-b037-1f466c0af8a6,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,结咗有一个小朋友,TEXT,2026-07-14 09:32:10.552 +0800
f6d7e2c6-8c07-4508-bd5a-9eba9db91ea2,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,小朋友几岁？,TEXT,2026-07-14 09:32:10.652 +0800
"53a1e011-c66f-4d44-9e55-89bb3023521b","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,"5岁",TEXT,2026-07-14 09:32:10.752 +0800
"3fcb2460-ebfe-4a3a-aa9d-396b95ee261a","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,说的,TEXT,2026-07-14 09:32:10.852 +0800
"3170345e-0ce4-4db3-a35a-4844f7ad650f","5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,下一题：家里小孩谁在照顾？,TEXT,2026-07-14 09:32:40.716 +0800
d05d5fe8-60c3-4026-8316-7f54720ba783,"5865e085-096b-4e5e-96e9-18eddc88faa6",USER,老婆,TEXT,2026-07-14 09:32:40.816 +0800
f999a36a-9bbf-4d5a-b37b-42fb1233bead,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,好的，所有问题都已经问完了。你还有什么想补充的吗？,TEXT,2026-07-14 09:32:40.916 +0800
"0d39e430-10c2-4aa6-ba17-913e79ec351f","5865e085-096b-4e5e-96e9-18eddc88faa6",USER,这个这个,TEXT,2026-07-14 09:32:41.016 +0800
d2408819-77c4-4e58-ac81-fc5f5f125b6c,"5865e085-096b-4e5e-96e9-18eddc88faa6",ASSISTANT,好的，非常感谢你今天的参与，祝你一切顺利，再见！,TEXT,2026-07-14 09:32:41.116 +0800
